Maquina,Start,End,Producto,Demanda,task_mode,paso,delta,Activity
MAQ118,1,23,ROK ELASTIC,1,Harden[2] TM1,0,22,MAQ118|ROK ELASTIC|1|Harden[2] TM1|0
MAQ118,24,35,GORGORÃO RIBBON W/ INSCR,1,Ironing TM4,0,11,MAQ118|GORGORÃO RIBBON W/ INSCR|1|Ironing TM4|0
MAQ118,36,47,GORGORÃO RIBBON,3,Ironing TM4,0,11,MAQ118|GORGORÃO RIBBON|3|Ironing TM4|0
MAQ118,48,59,WOVEN LABEL OURELA FABRIC,0,Ironing TM4,0,11,MAQ118|WOVEN LABEL OURELA FABRIC|0|Ironing TM4|0
MAQ118,61,72,GORGORÃO RIBBON,11,Ironing TM4,0,11,MAQ118|GORGORÃO RIBBON|11|Ironing TM4|0
MAQ118,73,77,SMOOTH ELASTIC(A),1,Harden[0.5] TM4,0,4,MAQ118|SMOOTH ELASTIC(A)|1|Harden[0.5] TM4|0
MAQ118,82,86,SMOOTH ELASTIC(A),0,Harden[0.5] TM4,0,4,MAQ118|SMOOTH ELASTIC(A)|0|Harden[0.5] TM4|0
MAQ118,87,98,ESTORE RIBBON,2,Ironing TM4,0,11,MAQ118|ESTORE RIBBON|2|Ironing TM4|0
MAQ118,99,121,ROK ELASTIC,2,Harden[2] TM1,0,22,MAQ118|ROK ELASTIC|2|Harden[2] TM1|0
MAQ118,122,133,WOVEN LABEL OURELA CUT,0,Ironing TM4,0,11,MAQ118|WOVEN LABEL OURELA CUT|0|Ironing TM4|0
MAQ118,134,138,SMOOTH ELASTIC(A),4,Harden[0.5] TM4,0,4,MAQ118|SMOOTH ELASTIC(A)|4|Harden[0.5] TM4|0
MAQ118,141,152,GORGORÃO RIBBON,0,Ironing TM4,0,11,MAQ118|GORGORÃO RIBBON|0|Ironing TM4|0
MAQ118,154,165,GORGORÃO RIBBON,9,Ironing TM4,0,11,MAQ118|GORGORÃO RIBBON|9|Ironing TM4|0
MAQ118,166,170,WOVEN LABEL OURELA CUT,1,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA CUT|1|Harden[0.5] TM4|3
MAQ118,172,183,WOVEN LABEL OURELA CUT,2,Ironing TM4,2,11,MAQ118|WOVEN LABEL OURELA CUT|2|Ironing TM4|2
MAQ118,185,189,WOVEN LABEL OURELA CUT,2,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA CUT|2|Harden[0.5] TM4|3
MAQ118,193,201,STRAP W/ STRIPES,3,Harden[1] TM5,0,8,MAQ118|STRAP W/ STRIPES|3|Harden[1] TM5|0
MAQ118,202,206,ELASTIC W/ INSCR,1,Harden[0.5] TM4,3,4,MAQ118|ELASTIC W/ INSCR|1|Harden[0.5] TM4|3
MAQ118,207,218,ESTORE RIBBON,0,Ironing TM4,0,11,MAQ118|ESTORE RIBBON|0|Ironing TM4|0
MAQ118,221,232,WOVEN LABEL OURELA CUT,0,Ironing TM4,2,11,MAQ118|WOVEN LABEL OURELA CUT|0|Ironing TM4|2
MAQ118,233,244,GORGORÃO RIBBON W/ INSCR,3,Ironing TM4,0,11,MAQ118|GORGORÃO RIBBON W/ INSCR|3|Ironing TM4|0
MAQ118,246,254,STRAP W/ STRIPES,0,Harden[1] TM5,0,8,MAQ118|STRAP W/ STRIPES|0|Harden[1] TM5|0
MAQ118,256,264,WOVEN LABEL OURELA FABRIC,6,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|6|Harden[1] TM5|1
MAQ118,266,277,ESTORE RIBBON,1,Ironing TM4,0,11,MAQ118|ESTORE RIBBON|1|Ironing TM4|0
MAQ118,279,290,ELASTIC W/ INSCR,2,Ironing TM4,0,11,MAQ118|ELASTIC W/ INSCR|2|Ironing TM4|0
MAQ118,291,305,WOVEN LABEL OURELA CUT,1,Harden[1.5] TM3,6,14,MAQ118|WOVEN LABEL OURELA CUT|1|Harden[1.5] TM3|6
MAQ118,306,314,WOVEN LABEL OURELA FABRIC,6,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|6|Harden[1] TM5|2
MAQ118,316,324,STRAP W/ STRIPES,0,Harden[1] TM5,1,8,MAQ118|STRAP W/ STRIPES|0|Harden[1] TM5|1
MAQ118,328,339,ESTORE RIBBON,1,Ironing TM4,1,11,MAQ118|ESTORE RIBBON|1|Ironing TM4|1
MAQ118,340,362,ROK ELASTIC,0,Harden[2] TM1,0,22,MAQ118|ROK ELASTIC|0|Harden[2] TM1|0
MAQ118,363,374,ESTORE RIBBON,3,Ironing TM4,0,11,MAQ118|ESTORE RIBBON|3|Ironing TM4|0
MAQ118,379,383,WOVEN LABEL OURELA FABRIC,6,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|6|Harden[0.5] TM4|3
MAQ118,385,393,WOVEN LABEL OURELA FABRIC,8,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|8|Harden[1] TM5|1
MAQ118,394,402,STRAP W/ STRIPES,6,Harden[1] TM5,0,8,MAQ118|STRAP W/ STRIPES|6|Harden[1] TM5|0
MAQ118,403,411,WOVEN LABEL OURELA FABRIC,2,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|2|Harden[1] TM5|1
MAQ118,412,416,WOVEN LABEL OURELA CUT,3,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA CUT|3|Harden[0.5] TM4|3
MAQ118,417,425,WOVEN LABEL OURELA FABRIC,1,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|1|Harden[1] TM5|1
MAQ118,426,434,STRAP W/ STRIPES,1,Harden[1] TM5,0,8,MAQ118|STRAP W/ STRIPES|1|Harden[1] TM5|0
MAQ118,435,443,WOVEN LABEL OURELA FABRIC,5,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|5|Harden[1] TM5|1
MAQ118,444,452,WOVEN LABEL OURELA FABRIC,9,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|9|Harden[1] TM5|1
MAQ118,453,461,STRAP W/ STRIPES,3,Harden[1] TM5,1,8,MAQ118|STRAP W/ STRIPES|3|Harden[1] TM5|1
MAQ118,463,471,STRAP W/ STRIPES,5,Harden[1] TM5,1,8,MAQ118|STRAP W/ STRIPES|5|Harden[1] TM5|1
MAQ118,472,480,WOVEN LABEL OURELA CUT,2,Harden[1] TM5,5,8,MAQ118|WOVEN LABEL OURELA CUT|2|Harden[1] TM5|5
MAQ118,481,489,WOVEN LABEL OURELA FABRIC,2,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|2|Harden[1] TM5|2
MAQ118,491,502,ESTORE RIBBON,3,Ironing TM4,1,11,MAQ118|ESTORE RIBBON|3|Ironing TM4|1
MAQ118,503,511,TAFFETA EMBLEM,1,Harden[1] TM5,0,8,MAQ118|TAFFETA EMBLEM|1|Harden[1] TM5|0
MAQ118,512,520,WOVEN LABEL OURELA FABRIC,5,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|5|Harden[1] TM5|2
MAQ118,521,529,WOVEN LABEL OURELA FABRIC,8,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|8|Harden[1] TM5|2
MAQ118,530,534,WOVEN LABEL OURELA CUT,0,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA CUT|0|Harden[0.5] TM4|3
MAQ118,536,544,STRAP W/ STRIPES,1,Harden[1] TM5,1,8,MAQ118|STRAP W/ STRIPES|1|Harden[1] TM5|1
MAQ118,545,553,STRAP W/ STRIPES,4,Harden[1] TM5,0,8,MAQ118|STRAP W/ STRIPES|4|Harden[1] TM5|0
MAQ118,554,562,WOVEN LABEL OURELA CUT,3,Harden[1] TM5,4,8,MAQ118|WOVEN LABEL OURELA CUT|3|Harden[1] TM5|4
MAQ118,564,572,WOVEN LABEL OURELA CUT,3,Harden[1] TM5,5,8,MAQ118|WOVEN LABEL OURELA CUT|3|Harden[1] TM5|5
MAQ118,577,581,WOVEN LABEL OURELA FABRIC,2,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|2|Harden[0.5] TM4|3
MAQ118,582,593,ESTORE RIBBON,5,Ironing TM4,2,11,MAQ118|ESTORE RIBBON|5|Ironing TM4|2
MAQ118,596,604,WOVEN LABEL OURELA FABRIC,10,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|10|Harden[1] TM5|1
MAQ118,606,620,WOVEN LABEL OURELA CUT,3,Harden[1.5] TM3,6,14,MAQ118|WOVEN LABEL OURELA CUT|3|Harden[1.5] TM3|6
MAQ118,623,631,STRAP W/ STRIPES,4,Harden[1] TM5,1,8,MAQ118|STRAP W/ STRIPES|4|Harden[1] TM5|1
MAQ118,632,640,WOVEN LABEL OURELA CUT,0,Harden[1] TM5,4,8,MAQ118|WOVEN LABEL OURELA CUT|0|Harden[1] TM5|4
MAQ118,642,650,STRAP W/ STRIPES,8,Harden[1] TM5,0,8,MAQ118|STRAP W/ STRIPES|8|Harden[1] TM5|0
MAQ118,652,660,WOVEN LABEL OURELA FABRIC,4,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|4|Harden[1] TM5|2
MAQ118,663,677,WOVEN LABEL OURELA CUT,0,Harden[1.5] TM3,6,14,MAQ118|WOVEN LABEL OURELA CUT|0|Harden[1.5] TM3|6
MAQ118,678,686,STRAP W/ STRIPES,7,Harden[1] TM5,1,8,MAQ118|STRAP W/ STRIPES|7|Harden[1] TM5|1
MAQ118,687,695,WOVEN LABEL OURELA CUT,4,Harden[1] TM5,4,8,MAQ118|WOVEN LABEL OURELA CUT|4|Harden[1] TM5|4
MAQ118,696,704,STRAP W/ STRIPES,9,Harden[1] TM5,0,8,MAQ118|STRAP W/ STRIPES|9|Harden[1] TM5|0
MAQ118,705,713,WOVEN LABEL OURELA FABRIC,11,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|11|Harden[1] TM5|1
MAQ118,715,723,STRAP W/ STRIPES,9,Harden[1] TM5,1,8,MAQ118|STRAP W/ STRIPES|9|Harden[1] TM5|1
MAQ118,724,732,WOVEN LABEL OURELA CUT,4,Harden[1] TM5,5,8,MAQ118|WOVEN LABEL OURELA CUT|4|Harden[1] TM5|5
MAQ118,733,747,WOVEN LABEL OURELA CUT,4,Harden[1.5] TM3,6,14,MAQ118|WOVEN LABEL OURELA CUT|4|Harden[1.5] TM3|6
MAQ118,749,757,WOVEN LABEL OURELA FABRIC,0,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|0|Harden[1] TM5|2
MAQ118,759,767,WOVEN LABEL OURELA FABRIC,11,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|11|Harden[1] TM5|2
MAQ118,769,773,WOVEN LABEL OURELA FABRIC,1,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|1|Harden[0.5] TM4|3
MAQ118,774,778,WOVEN LABEL OURELA FABRIC,11,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|11|Harden[0.5] TM4|3
MAQ118,779,783,WOVEN LABEL OURELA FABRIC,3,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|3|Harden[0.5] TM4|3
MAQ118,784,788,WOVEN LABEL OURELA FABRIC,8,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|8|Harden[0.5] TM4|3
MAQ118,789,797,WOVEN LABEL OURELA FABRIC,7,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|7|Harden[1] TM5|1
MAQ118,798,802,WOVEN LABEL OURELA FABRIC,7,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|7|Harden[0.5] TM4|3
MAQ118,804,812,WOVEN LABEL OURELA FABRIC,10,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|10|Harden[1] TM5|2
MAQ118,816,824,WOVEN LABEL OURELA FABRIC,12,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|12|Harden[1] TM5|2
MAQ119,1,16,TAFFETA EMBLEM,2,Harden[1] TM1,0,15,MAQ119|TAFFETA EMBLEM|2|Harden[1] TM1|0
MAQ119,17,25,SMOOTH STRAP(A),1,Ironing TM3,0,8,MAQ119|SMOOTH STRAP(A)|1|Ironing TM3|0
MAQ119,26,34,SMOOTH STRAP(A),0,Ironing TM3,0,8,MAQ119|SMOOTH STRAP(A)|0|Ironing TM3|0
MAQ119,35,50,TAFFETA EMBLEM,0,Harden[1] TM1,0,15,MAQ119|TAFFETA EMBLEM|0|Harden[1] TM1|0
MAQ119,52,60,WOVEN LABEL OURELA CUT,1,Ironing TM3,0,8,MAQ119|WOVEN LABEL OURELA CUT|1|Ironing TM3|0
MAQ119,61,69,WOVEN LABEL OURELA CUT,1,Ironing TM3,1,8,MAQ119|WOVEN LABEL OURELA CUT|1|Ironing TM3|1
MAQ119,70,78,WOVEN LABEL OURELA CUT,2,Ironing TM3,0,8,MAQ119|WOVEN LABEL OURELA CUT|2|Ironing TM3|0
MAQ119,79,90,SMOOTH ELASTIC(A),3,Harden[0.5] TM1,0,11,MAQ119|SMOOTH ELASTIC(A)|3|Harden[0.5] TM1|0
MAQ119,91,99,GORGORÃO RIBBON,4,Ironing TM3,0,8,MAQ119|GORGORÃO RIBBON|4|Ironing TM3|0
MAQ119,101,109,GORGORÃO RIBBON,10,Ironing TM3,0,8,MAQ119|GORGORÃO RIBBON|10|Ironing TM3|0
MAQ119,110,134,ROK ELASTIC,1,Harden[1.5] TM1,1,24,MAQ119|ROK ELASTIC|1|Harden[1.5] TM1|1
MAQ119,136,151,TAFFETA EMBLEM,3,Harden[1] TM1,0,15,MAQ119|TAFFETA EMBLEM|3|Harden[1] TM1|0
MAQ119,153,161,GORGORÃO RIBBON,2,Ironing TM3,0,8,MAQ119|GORGORÃO RIBBON|2|Ironing TM3|0
MAQ119,162,177,TAFFETA EMBLEM,7,Harden[1] TM1,0,15,MAQ119|TAFFETA EMBLEM|7|Harden[1] TM1|0
MAQ119,179,187,ELASTIC W/ INSCR,0,Ironing TM3,0,8,MAQ119|ELASTIC W/ INSCR|0|Ironing TM3|0
MAQ119,193,208,TAFFETA EMBLEM,5,Harden[1] TM1,0,15,MAQ119|TAFFETA EMBLEM|5|Harden[1] TM1|0
MAQ119,209,224,WOVEN LABEL OURELA CUT,1,Harden[1] TM1,4,15,MAQ119|WOVEN LABEL OURELA CUT|1|Harden[1] TM1|4
MAQ119,225,236,SMOOTH ELASTIC(A),2,Harden[0.5] TM1,0,11,MAQ119|SMOOTH ELASTIC(A)|2|Harden[0.5] TM1|0
MAQ119,237,261,ROK ELASTIC,2,Harden[1.5] TM1,1,24,MAQ119|ROK ELASTIC|2|Harden[1.5] TM1|1
MAQ119,262,270,ESTORE RIBBON,4,Ironing TM3,0,8,MAQ119|ESTORE RIBBON|4|Ironing TM3|0
MAQ119,271,286,WOVEN LABEL OURELA CUT,1,Harden[1] TM1,5,15,MAQ119|WOVEN LABEL OURELA CUT|1|Harden[1] TM1|5
MAQ119,287,295,SMOOTH STRAP(A),2,Ironing TM3,0,8,MAQ119|SMOOTH STRAP(A)|2|Ironing TM3|0
MAQ119,296,304,ESTORE RIBBON,4,Ironing TM3,2,8,MAQ119|ESTORE RIBBON|4|Ironing TM3|2
MAQ119,305,313,SMOOTH STRAP(A),3,Ironing TM3,0,8,MAQ119|SMOOTH STRAP(A)|3|Ironing TM3|0
MAQ119,315,330,STRAP W/ STRIPES,5,Harden[1] TM1,0,15,MAQ119|STRAP W/ STRIPES|5|Harden[1] TM1|0
MAQ119,332,347,STRAP W/ STRIPES,7,Harden[1] TM1,0,15,MAQ119|STRAP W/ STRIPES|7|Harden[1] TM1|0
MAQ119,348,356,ESTORE RIBBON,0,Ironing TM3,2,8,MAQ119|ESTORE RIBBON|0|Ironing TM3|2
MAQ119,357,368,ELASTIC W/ INSCR,0,Harden[0.5] TM1,3,11,MAQ119|ELASTIC W/ INSCR|0|Harden[0.5] TM1|3
MAQ119,370,378,WOVEN LABEL OURELA FABRIC,2,Ironing TM3,0,8,MAQ119|WOVEN LABEL OURELA FABRIC|2|Ironing TM3|0
MAQ119,385,409,ROK ELASTIC,0,Harden[1.5] TM1,1,24,MAQ119|ROK ELASTIC|0|Harden[1.5] TM1|1
MAQ119,410,425,WOVEN LABEL OURELA CUT,2,Harden[1] TM1,4,15,MAQ119|WOVEN LABEL OURELA CUT|2|Harden[1] TM1|4
MAQ119,426,441,TAFFETA EMBLEM,4,Harden[1] TM1,0,15,MAQ119|TAFFETA EMBLEM|4|Harden[1] TM1|0
MAQ119,442,457,STRAP W/ STRIPES,2,Harden[1] TM1,0,15,MAQ119|STRAP W/ STRIPES|2|Harden[1] TM1|0
MAQ119,458,473,STRAP W/ STRIPES,2,Harden[1] TM1,1,15,MAQ119|STRAP W/ STRIPES|2|Harden[1] TM1|1
MAQ119,475,490,TAFFETA EMBLEM,6,Harden[1] TM1,0,15,MAQ119|TAFFETA EMBLEM|6|Harden[1] TM1|0
MAQ119,491,502,ELASTIC W/ INSCR,2,Harden[0.5] TM1,3,11,MAQ119|ELASTIC W/ INSCR|2|Harden[0.5] TM1|3
MAQ119,504,528,WOVEN LABEL OURELA CUT,2,Harden[1.5] TM1,6,24,MAQ119|WOVEN LABEL OURELA CUT|2|Harden[1.5] TM1|6
MAQ119,529,544,TAFFETA EMBLEM,9,Harden[1] TM1,0,15,MAQ119|TAFFETA EMBLEM|9|Harden[1] TM1|0
MAQ119,546,561,TAFFETA EMBLEM,8,Harden[1] TM1,0,15,MAQ119|TAFFETA EMBLEM|8|Harden[1] TM1|0
MAQ119,564,575,WOVEN LABEL OURELA FABRIC,5,Harden[0.5] TM1,3,11,MAQ119|WOVEN LABEL OURELA FABRIC|5|Harden[0.5] TM1|3
MAQ119,577,592,WOVEN LABEL OURELA FABRIC,0,Harden[1] TM1,1,15,MAQ119|WOVEN LABEL OURELA FABRIC|0|Harden[1] TM1|1
MAQ119,593,608,WOVEN LABEL OURELA FABRIC,9,Harden[1] TM1,2,15,MAQ119|WOVEN LABEL OURELA FABRIC|9|Harden[1] TM1|2
MAQ119,609,624,WOVEN LABEL OURELA FABRIC,3,Harden[1] TM1,1,15,MAQ119|WOVEN LABEL OURELA FABRIC|3|Harden[1] TM1|1
MAQ119,625,640,WOVEN LABEL OURELA FABRIC,4,Harden[1] TM1,1,15,MAQ119|WOVEN LABEL OURELA FABRIC|4|Harden[1] TM1|1
MAQ119,641,656,WOVEN LABEL OURELA CUT,0,Harden[1] TM1,5,15,MAQ119|WOVEN LABEL OURELA CUT|0|Harden[1] TM1|5
MAQ119,658,673,STRAP W/ STRIPES,6,Harden[1] TM1,1,15,MAQ119|STRAP W/ STRIPES|6|Harden[1] TM1|1
MAQ119,674,685,WOVEN LABEL OURELA CUT,4,Harden[0.5] TM1,3,11,MAQ119|WOVEN LABEL OURELA CUT|4|Harden[0.5] TM1|3
MAQ119,686,701,STRAP W/ STRIPES,8,Harden[1] TM1,1,15,MAQ119|STRAP W/ STRIPES|8|Harden[1] TM1|1
MAQ119,703,714,WOVEN LABEL OURELA FABRIC,4,Harden[0.5] TM1,3,11,MAQ119|WOVEN LABEL OURELA FABRIC|4|Harden[0.5] TM1|3
MAQ119,715,726,WOVEN LABEL OURELA FABRIC,9,Harden[0.5] TM1,3,11,MAQ119|WOVEN LABEL OURELA FABRIC|9|Harden[0.5] TM1|3
MAQ119,727,742,WOVEN LABEL OURELA FABRIC,1,Harden[1] TM1,2,15,MAQ119|WOVEN LABEL OURELA FABRIC|1|Harden[1] TM1|2
MAQ119,744,759,WOVEN LABEL OURELA FABRIC,3,Harden[1] TM1,2,15,MAQ119|WOVEN LABEL OURELA FABRIC|3|Harden[1] TM1|2
MAQ119,769,780,WOVEN LABEL OURELA FABRIC,0,Harden[0.5] TM1,3,11,MAQ119|WOVEN LABEL OURELA FABRIC|0|Harden[0.5] TM1|3
MAQ119,781,796,WOVEN LABEL OURELA FABRIC,12,Harden[1] TM1,1,15,MAQ119|WOVEN LABEL OURELA FABRIC|12|Harden[1] TM1|1
MAQ119,797,812,WOVEN LABEL OURELA FABRIC,7,Harden[1] TM1,2,15,MAQ119|WOVEN LABEL OURELA FABRIC|7|Harden[1] TM1|2
MAQ119,813,824,WOVEN LABEL OURELA FABRIC,10,Harden[0.5] TM1,3,11,MAQ119|WOVEN LABEL OURELA FABRIC|10|Harden[0.5] TM1|3
MAQ119,825,836,WOVEN LABEL OURELA FABRIC,12,Harden[0.5] TM1,3,11,MAQ119|WOVEN LABEL OURELA FABRIC|12|Harden[0.5] TM1|3
